session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,150.85331473979554,191.3636984437991,219.45872359351196,106.88796870785824
2,148.35789424320646,186.6023228794333,226.10688249944934,102.93837830362511
3,154.0155800101457,188.86071650419106,234.15048283381995,100.24969425991866
4,148.3085590411885,181.1680164307693,242.14405267629837,101.49978239167072
5,146.5680796131861,183.92724170695243,237.79686778319763,100.01779117690988
6,145.21190797297814,184.20720372044858,251.93259465647296,96.45698654847834
7,144.0196914266421,185.68079958059124,264.21887995893394,97.91201323473362
8,145.36774678038404,181.7290061744815,267.858845196003,96.03476119944337
9,140.7956942985279,180.18671336012397,265.07519457248753,93.51862741450527
10,142.60249362094515,169.17720303861137,266.72051908574525,95.82782452576248
